artists,Track_Count,Avg_Pop,Max_Pop,Avg_Energy,Avg_Dance
George Jones,260,16.56,56,0.36,0.54
my little airport,171,33.22,50,0.45,0.54
The Beatles,149,60.32,82,0.54,0.52
BTS,143,67.89,85,0.76,0.62
Håkan Hellström,141,30.7,47,0.69,0.39
Glee Cast,139,38.84,59,0.67,0.55
Hank Williams,136,13.46,50,0.28,0.55
Linkin Park,133,51.77,85,0.85,0.53
Scooter,130,23.47,62,0.94,0.53
OneRepublic,124,35.83,96,0.69,0.53
CoComelon,122,49.37,72,0.37,0.81
Ella Fitzgerald,111,0.99,57,0.36,0.57
Arctic Monkeys,110,56.63,92,0.71,0.48
Dean Martin,110,2.37,68,0.25,0.47
Charlie Brown Jr.,106,39.39,55,0.87,0.53
Germaine Franco,106,24.15,59,0.23,0.35
Vybz Kartel,106,22.16,60,0.73,0.67
Elvis Presley,105,53.11,80,0.5,0.52
Hank Williams;Drifting Cowboys,104,21.99,55,0.27,0.63
The Beach Boys,104,12.28,72,0.54,0.54
Nat King Cole,102,1.38,71,0.3,0.43
Jay Chou,93,52.22,64,0.57,0.6
Almafuerte,93,26.39,41,0.9,0.33
Carlos Gardel,91,21.04,46,0.3,0.61
Sujatha,89,27.02,48,0.53,0.59
Dan Gibson's Solitudes,88,23.57,45,0.14,0.26
Napalm Death,87,14.4,45,0.94,0.26
"Sarah, the Illstrumentalist",86,17.78,48,0.47,0.68
Stevie Wonder,86,1.0,75,0.56,0.48
Pink Floyd,86,55.09,77,0.39,0.43
Nogizaka46,86,25.14,57,0.88,0.53
Shiritsu Ebisu Chugaku,84,21.2,32,0.89,0.55
Brenda Lee,80,4.72,71,0.5,0.63
Alphaxone,78,8.91,19,0.26,0.14
Hillsong Worship,78,44.15,63,0.54,0.38
Seiko Matsuda,78,25.27,41,0.6,0.64
The Prophet,78,8.37,65,0.9,0.61
The Jackson 5,77,1.05,77,0.72,0.63
Rammstein,75,61.96,77,0.82,0.57
Norah Jones,75,4.87,76,0.32,0.49
Oleg Pogudin,75,0.89,10,0.24,0.43
Wolfgang Amadeus Mozart;Danielle Laval,73,11.44,26,0.11,0.39
The Chemical Brothers,72,29.32,65,0.86,0.62
Henrique & Juliano,72,52.31,62,0.73,0.6
ABBA,71,37.14,83,0.56,0.58
Eikichi Yazawa,69,29.68,43,0.7,0.6
Chris Tomlin,68,44.19,66,0.64,0.46
XXXTENTACION,67,62.43,87,0.44,0.68
