track_genre,Track_Count,Avg_Pop,Median_Pop,Pop_StdDev,Avg_Energy,Avg_Dance,Avg_Valence,Avg_Duration
acoustic,1000,42.48,47.0,16.54,0.44,0.55,0.42,3.58
alt-rock,999,33.9,45.0,31.14,0.75,0.53,0.52,3.92
tango,999,19.87,19.0,4.81,0.37,0.54,0.58,3.05
ambient,999,44.21,50.0,17.92,0.24,0.37,0.17,3.95
afrobeat,999,24.41,21.0,10.51,0.7,0.67,0.7,4.14
cantopop,999,34.75,35.0,13.59,0.46,0.55,0.39,3.82
bluegrass,998,25.68,24.0,7.95,0.53,0.53,0.63,3.69
forro,998,41.83,41.0,4.12,0.79,0.65,0.76,3.18
study,998,26.13,28.0,14.12,0.41,0.69,0.4,2.36
chicago-house,998,12.33,10.0,9.59,0.73,0.77,0.59,6.11
disney,998,27.49,23.0,11.98,0.3,0.46,0.37,2.6
sleep,997,35.04,35.0,20.47,0.34,0.17,0.06,3.07
heavy-metal,997,26.18,23.0,8.29,0.87,0.43,0.39,4.2
breakbeat,997,20.17,14.0,12.84,0.85,0.65,0.48,5.29
black-metal,996,22.43,19.0,9.38,0.88,0.3,0.19,5.18
j-idol,995,24.62,22.0,8.14,0.87,0.55,0.58,4.27
happy,995,21.69,19.0,10.69,0.91,0.55,0.33,4.03
anime,995,48.78,50.0,11.72,0.67,0.54,0.43,3.5
club,994,33.35,37.0,13.5,0.72,0.6,0.37,3.44
comedy,990,24.61,23.0,7.31,0.7,0.58,0.45,3.76
idm,990,15.52,12.0,9.83,0.56,0.53,0.3,4.46
iranian,988,2.22,0.0,4.19,0.54,0.3,0.15,5.33
malay,988,30.17,28.0,10.56,0.58,0.63,0.5,4.25
salsa,988,28.11,29.0,10.64,0.72,0.67,0.81,4.58
kids,986,14.77,12.0,8.97,0.61,0.78,0.68,2.62
grindcore,985,14.52,14.0,4.3,0.93,0.27,0.22,2.21
honky-tonk,981,16.41,13.0,9.2,0.37,0.57,0.63,2.7
new-age,974,29.05,24.0,12.37,0.21,0.35,0.18,4.99
children,974,34.86,35.0,17.02,0.49,0.72,0.69,2.31
chill,972,53.74,57.0,14.82,0.43,0.67,0.41,2.81
deep-house,972,45.57,51.0,18.15,0.74,0.71,0.45,3.66
detroit-techno,956,11.13,8.0,8.98,0.71,0.72,0.47,6.21
drum-and-bass,955,26.74,19.0,14.59,0.88,0.53,0.32,4.63
dance,948,23.72,1.0,35.09,0.71,0.69,0.55,3.27
country,946,17.35,0.0,27.19,0.59,0.55,0.51,3.38
spanish,941,39.9,32.0,19.03,0.71,0.6,0.55,3.87
dancehall,939,34.96,32.0,20.18,0.69,0.73,0.63,3.31
blues,938,31.18,34.0,27.33,0.58,0.57,0.61,3.72
brazil,937,44.65,45.0,9.23,0.61,0.56,0.46,4.61
dub,933,40.33,44.0,14.5,0.71,0.57,0.37,3.86
emo,932,48.5,50.0,16.97,0.67,0.6,0.44,3.15
disco,928,34.0,32.0,24.53,0.73,0.67,0.68,4.07
world-music,923,41.54,43.0,11.14,0.54,0.41,0.25,4.9
k-pop,917,59.36,61.0,12.39,0.68,0.64,0.57,4.24
goth,907,29.02,24.0,11.03,0.73,0.48,0.45,4.22
romance,904,3.55,0.0,6.54,0.3,0.43,0.39,3.37
trip-hop,904,34.39,38.0,15.35,0.62,0.64,0.48,4.61
show-tunes,901,31.21,25.0,16.09,0.4,0.47,0.38,3.48
garage,901,40.61,33.0,16.93,0.74,0.48,0.52,3.3
death-metal,901,32.5,25.0,14.03,0.93,0.37,0.25,4.1
british,900,44.77,53.0,22.59,0.5,0.5,0.43,3.64
hardstyle,898,28.18,23.0,13.57,0.9,0.53,0.31,3.73
power-pop,891,27.08,23.0,13.04,0.8,0.47,0.62,3.1
french,890,41.09,36.0,17.64,0.59,0.66,0.43,3.4
guitar,886,29.37,26.0,10.36,0.34,0.55,0.45,3.66
minimal-techno,885,33.28,38.0,14.75,0.68,0.73,0.28,6.19
mandopop,873,45.07,49.0,13.0,0.51,0.55,0.35,4.18
turkish,870,40.51,40.0,7.92,0.62,0.63,0.46,3.63
classical,867,13.36,4.0,17.67,0.2,0.39,0.39,3.93
grunge,862,50.59,54.0,14.46,0.8,0.46,0.4,3.94
opera,852,24.37,22.0,12.78,0.3,0.31,0.21,3.79
pagode,845,45.59,45.0,4.66,0.71,0.56,0.7,3.87
industrial,845,32.47,24.0,16.08,0.85,0.54,0.43,4.22
hip-hop,842,42.43,59.0,31.22,0.7,0.73,0.55,3.49
folk,841,40.16,42.0,21.51,0.56,0.56,0.49,4.49
synth-pop,838,35.53,29.0,19.69,0.72,0.61,0.58,4.13
rock-n-roll,837,36.7,33.0,12.48,0.51,0.55,0.66,2.92
electronic,830,44.23,47.0,14.76,0.69,0.66,0.4,3.88
sertanejo,826,47.86,47.0,3.64,0.7,0.59,0.61,3.37
party,820,22.05,25.0,13.02,0.87,0.67,0.68,3.31
pop-film,815,59.1,60.0,10.74,0.6,0.59,0.53,4.72
piano,794,46.61,51.0,19.81,0.34,0.46,0.32,3.36
mpb,780,40.97,41.0,6.58,0.56,0.57,0.55,3.81
funk,767,34.31,44.0,24.11,0.61,0.69,0.61,3.43
swedish,766,36.49,37.0,20.02,0.62,0.6,0.54,3.42
j-dance,764,25.4,21.0,11.21,0.71,0.68,0.57,3.26
latin,759,9.86,0.0,23.86,0.72,0.73,0.62,3.51
hardcore,757,37.01,32.0,18.91,0.84,0.55,0.52,3.48
progressive-house,755,46.54,51.0,17.18,0.82,0.62,0.36,3.4
ska,746,35.72,35.0,6.09,0.8,0.59,0.72,3.7
indian,733,49.77,49.0,11.66,0.55,0.59,0.45,4.0
german,731,32.35,38.0,21.57,0.57,0.54,0.39,3.56
j-pop,728,37.19,38.0,22.33,0.64,0.56,0.54,3.9
metalcore,718,44.71,51.0,16.11,0.9,0.43,0.33,3.81
hard-rock,709,45.74,40.0,21.9,0.81,0.48,0.51,4.13
trance,708,38.55,39.0,13.31,0.84,0.58,0.26,4.88
edm,694,40.44,55.0,31.17,0.75,0.66,0.46,3.18
gospel,672,39.6,40.0,3.12,0.58,0.48,0.33,5.03
punk-rock,665,39.46,38.0,17.66,0.8,0.52,0.6,3.65
rockabilly,645,27.99,25.0,15.05,0.68,0.57,0.74,2.87
groove,636,35.52,33.0,16.15,0.73,0.55,0.4,4.49
psych-rock,635,39.59,43.0,20.19,0.55,0.5,0.56,3.99
samba,631,37.65,37.0,4.14,0.69,0.57,0.71,3.74
indie-pop,601,39.56,45.0,30.68,0.55,0.61,0.47,3.34
electro,596,34.33,43.5,34.12,0.61,0.65,0.46,3.25
sad,564,51.11,52.0,12.08,0.48,0.7,0.44,2.54
singer-songwriter,527,43.59,54.0,25.17,0.42,0.55,0.37,3.51
jazz,524,9.79,0.0,21.09,0.31,0.49,0.49,2.98
r-n-b,489,39.6,42.0,19.63,0.59,0.65,0.65,3.45
j-rock,460,36.9,34.0,8.73,0.73,0.51,0.56,4.07
soul,445,26.62,0.0,32.19,0.55,0.63,0.5,3.33
techno,416,40.06,41.0,13.42,0.78,0.68,0.33,5.31
pop,416,41.94,65.0,35.76,0.58,0.58,0.48,3.58
alternative,407,22.22,1.0,31.55,0.68,0.6,0.48,3.44
latino,398,51.79,46.0,26.06,0.71,0.76,0.62,3.43
rock,342,18.18,0.0,32.43,0.65,0.55,0.48,3.71
dubstep,268,39.1,40.0,7.87,0.77,0.53,0.25,3.76
reggae,256,24.83,2.5,29.61,0.7,0.73,0.66,3.57
metal,232,56.42,63.0,19.01,0.84,0.48,0.42,4.21
punk,226,41.88,40.0,18.86,0.78,0.51,0.55,3.66
house,210,32.09,21.5,32.71,0.74,0.68,0.53,3.09
indie,134,34.35,43.0,29.89,0.64,0.58,0.49,3.52
reggaeton,74,48.27,41.5,18.66,0.74,0.74,0.67,3.8
